OTU,Size,Taxonomy
Otu0102,1088,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreaceae(100);f__Hypocreaceae_unclassified(100);
Otu0103,1064,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0104,1062,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);f__Lasiosphaeriaceae_unclassified(100);f__Lasiosphaeriaceae_unclassified(100);
Otu0105,1041,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Trichocomaceae(100);g__Penicillium(100);s__Penicillium_penicillioides(100);
Otu0106,1035,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0107,1035,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(96);c__Sordariomycetes_unclassified(96);c__Sordariomycetes_unclassified(96);c__Sordariomycetes_unclassified(96);c__Sordariomycetes_unclassified(96);
Otu0108,1031,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);
Otu0109,1022,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(100);
Otu0110,1014,k__Fungi(100);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);k__Fungi_unclassified(98);
Otu0111,1005,k__Fungi(100);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);
Otu0112,1001,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(98);
Otu0113,992,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);c__Agaricomycetes_unclassified(100);
Otu0114,987,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Hysteriales(100);f__Gloniaceae(100);g__Cenococcum(100);s__uncultured_Cenococcum(84);
Otu0115,978,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Trichocomaceae(100);f__Trichocomaceae_unclassified(94);f__Trichocomaceae_unclassified(94);
Otu0116,948,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Amphisphaeriaceae(100);g__Pestalotiopsis(100);s__Pestalotiopsis_trachicarpicola(59);
Otu0117,943,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(73);
Otu0118,939,k__Fungi(100);p__Ascomycota(100);c__Ascomycota_class_Incertae_sedis(100);o__Ascomycota_order_Incertae_sedis(100);f__Ascomycota_family_Incertae_sedis(100);g__Cordana(100);s__Cordana_ellipsoidea(100);
Otu0119,923,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Chaetosphaeriales(100);f__Chaetosphaeriaceae(100);f__Chaetosphaeriaceae_unclassified(97);f__Chaetosphaeriaceae_unclassified(97);
Otu0120,915,k__Fungi(100);p__Basidiomycota(94);p__Basidiomycota_unclassified(88);p__Basidiomycota_unclassified(88);p__Basidiomycota_unclassified(88);p__Basidiomycota_unclassified(88);p__Basidiomycota_unclassified(88);
Otu0121,913,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(100);
Otu0122,897,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Hyaloscyphaceae(100);f__Hyaloscyphaceae_unclassified(96);f__Hyaloscyphaceae_unclassified(96);
Otu0123,896,k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Trichosporonales(100);f__Trichosporonaceae(100);g__Trichosporon(100);s__Trichosporon_dehoogii(100);
Otu0124,895,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(100);
Otu0125,894,k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);g__Cladophialophora(100);g__Cladophialophora_unclassified(94);
Otu0126,894,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_heterosporus(76);
Otu0127,889,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__Tomentella(100);s__Tomentella_sp(97);
Otu0128,881,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_family_Incertae_sedis(100);g__Ilyonectria(100);s__Ilyonectria_robusta(100);
Otu0129,881,k__Fungi(100);p__Glomeromycota(100);c__Glomeromycetes(100);o__Diversisporales(100);f__Acaulosporaceae(95);g__Entrophospora(95);s__Entrophospora_sp(95);
Otu0130,866,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0131,839,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Chaetosphaeriales(100);f__Chaetosphaeriaceae(100);g__Chloridium(100);s__Chloridium_virescens_var_chlamydosporum(100);
