,Kingdom,Phylum,Class,Order,Family,Genus
ASV_4988,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Helminthosphaeriaceae,g__Spadicoides
ASV_4989,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Magnohelicospora
ASV_4990,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,g__Meristemomyces
ASV_4991,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora
ASV_4992,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4993,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4994,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4995,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium
ASV_4996,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4997,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4998,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum
ASV_4999,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,NA,NA
ASV_5000,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,NA,NA
ASV_5001,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Anthostomella
ASV_5002,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Annulatascales,f__Annulatascaceae,g__Torrentispora
ASV_5003,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Abrothallales,f__Abrothallaceae,g__Abrothallus
ASV_5004,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,NA
ASV_5005,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,NA
ASV_5006,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora
ASV_5007,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leohumicola
ASV_5008,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA
ASV_5009,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora
ASV_5010,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella
ASV_5011,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula
ASV_5012,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
